date,sku_id,category,sales,stockout,price,cost
2022-01-01,SKU_001,Home,202,False,24.04,7.61
2022-01-02,SKU_001,Home,216,False,64.1,36.86
2022-01-03,SKU_001,Home,187,False,26.51,18.69
2022-01-04,SKU_001,Home,203,False,48.88,18.11
2022-01-05,SKU_001,Home,180,False,42.97,25.52
2022-01-06,SKU_001,Home,200,False,27.97,28.14
2022-01-07,SKU_001,Home,188,False,25.35,7.93
2022-01-08,SKU_001,Home,199,False,96.91,41.38
2022-01-09,SKU_001,Home,188,False,49.61,10.49
2022-01-10,SKU_001,Home,194,False,13.09,45.92
2022-01-11,SKU_001,Home,211,False,56.81,29.6
2022-01-12,SKU_001,Home,181,False,97.26,39.88
2022-01-13,SKU_001,Home,211,False,27.64,7.04
2022-01-14,SKU_001,Home,203,False,44.98,17.21
2022-01-15,SKU_001,Home,194,False,58.84,11.34
2022-01-16,SKU_001,Home,218,False,16.71,49.41
2022-01-17,SKU_001,Home,0,True,83.39,36.81
2022-01-18,SKU_001,Home,212,False,79.41,8.33
2022-01-19,SKU_001,Home,191,False,66.1,19.89
2022-01-20,SKU_001,Home,199,False,37.99,19.63
2022-01-21,SKU_001,Home,217,False,52.5,10.38
2022-01-22,SKU_001,Home,226,False,78.47,30.26
2022-01-23,SKU_001,Home,205,False,48.48,6.14
2022-01-24,SKU_001,Home,230,False,12.83,33.64
2022-01-25,SKU_001,Home,208,False,32.44,23.47
2022-01-26,SKU_001,Home,178,False,30.59,8.46
2022-01-27,SKU_001,Home,196,False,82.73,33.5
2022-01-28,SKU_001,Home,201,False,82.33,13.4
2022-01-29,SKU_001,Home,211,False,90.65,19.31
2022-01-30,SKU_001,Home,224,False,30.51,24.22
2022-01-31,SKU_001,Home,0,True,55.97,23.78
2022-02-01,SKU_001,Home,215,False,20.79,20.19
2022-02-02,SKU_001,Home,209,False,73.27,21.36
2022-02-03,SKU_001,Home,218,False,96.62,16.33
2022-02-04,SKU_001,Home,184,False,13.32,32.43
2022-02-05,SKU_001,Home,212,False,14.63,17.54
2022-02-06,SKU_001,Home,211,False,54.05,49.35
2022-02-07,SKU_001,Home,218,False,70.49,39.27
2022-02-08,SKU_001,Home,226,False,66.91,33.51
2022-02-09,SKU_001,Home,201,False,18.13,42.59
2022-02-10,SKU_001,Home,201,False,63.18,35.49
2022-02-11,SKU_001,Home,0,True,56.09,15.19
2022-02-12,SKU_001,Home,200,False,44.81,47.15
2022-02-13,SKU_001,Home,224,False,40.7,10.11
2022-02-14,SKU_001,Home,230,False,59.97,28.83
2022-02-15,SKU_001,Home,199,False,18.38,45.37
2022-02-16,SKU_001,Home,222,False,41.43,37.67
2022-02-17,SKU_001,Home,230,False,89.84,40.09
2022-02-18,SKU_001,Home,209,False,90.87,32.29
2022-02-19,SKU_001,Home,0,True,19.13,34.86
2022-02-20,SKU_001,Home,248,False,30.18,37.05
2022-02-21,SKU_001,Home,228,False,39.29,38.59
2022-02-22,SKU_001,Home,235,False,61.15,9.22
2022-02-23,SKU_001,Home,227,False,33.87,15.98
2022-02-24,SKU_001,Home,220,False,66.8,40.77
2022-02-25,SKU_001,Home,227,False,61.92,27.16
2022-02-26,SKU_001,Home,232,False,12.19,34.05
2022-02-27,SKU_001,Home,210,False,94.64,47.93
2022-02-28,SKU_001,Home,0,True,93.55,24.27
2022-03-01,SKU_001,Home,234,False,96.73,43.39
2022-03-02,SKU_001,Home,211,False,38.52,12.63
2022-03-03,SKU_001,Home,202,False,94.25,36.32
2022-03-04,SKU_001,Home,211,False,99.1,11.3
2022-03-05,SKU_001,Home,227,False,88.96,38.33
2022-03-06,SKU_001,Home,241,False,36.42,41.42
2022-03-07,SKU_001,Home,241,False,88.04,46.1
2022-03-08,SKU_001,Home,234,False,68.5,36.59
2022-03-09,SKU_001,Home,284,False,90.1,20.21
2022-03-10,SKU_001,Home,215,False,13.23,25.95
2022-03-11,SKU_001,Home,223,False,35.79,31.59
2022-03-12,SKU_001,Home,220,False,57.0,39.65
2022-03-13,SKU_001,Home,244,False,66.06,8.84
2022-03-14,SKU_001,Home,228,False,67.37,37.67
2022-03-15,SKU_001,Home,218,False,56.47,19.53
2022-03-16,SKU_001,Home,218,False,17.06,6.14
2022-03-17,SKU_001,Home,241,False,85.24,36.32
2022-03-18,SKU_001,Home,211,False,32.52,29.72
2022-03-19,SKU_001,Home,224,False,69.42,17.6
2022-03-20,SKU_001,Home,261,False,32.3,21.02
2022-03-21,SKU_001,Home,245,False,11.3,10.22
2022-03-22,SKU_001,Home,236,False,18.81,27.12
2022-03-23,SKU_001,Home,241,False,25.59,24.52
2022-03-24,SKU_001,Home,254,False,14.08,21.86
2022-03-25,SKU_001,Home,208,False,55.28,43.54
2022-03-26,SKU_001,Home,215,False,67.82,6.19
2022-03-27,SKU_001,Home,237,False,94.62,30.9
2022-03-28,SKU_001,Home,254,False,59.11,47.37
2022-03-29,SKU_001,Home,212,False,96.51,45.74
2022-03-30,SKU_001,Home,235,False,38.71,43.02
2022-03-31,SKU_001,Home,221,False,83.3,17.68
2022-04-01,SKU_001,Home,236,False,88.97,38.08
2022-04-02,SKU_001,Home,220,False,35.38,12.98
2022-04-03,SKU_001,Home,242,False,47.14,21.74
2022-04-04,SKU_001,Home,240,False,40.67,46.88
2022-04-05,SKU_001,Home,228,False,77.91,9.64
2022-04-06,SKU_001,Home,248,False,55.47,42.19
2022-04-07,SKU_001,Home,241,False,10.98,45.74
2022-04-08,SKU_001,Home,227,False,38.74,47.75
2022-04-09,SKU_001,Home,233,False,50.36,18.19
2022-04-10,SKU_001,Home,240,False,70.53,38.86
2022-04-11,SKU_001,Home,241,False,54.5,7.59
2022-04-12,SKU_001,Home,241,False,49.74,44.95
2022-04-13,SKU_001,Home,219,False,78.54,32.82
2022-04-14,SKU_001,Home,226,False,17.57,36.54
2022-04-15,SKU_001,Home,224,False,98.8,21.84
2022-04-16,SKU_001,Home,235,False,83.15,47.63
2022-04-17,SKU_001,Home,220,False,60.26,24.09
2022-04-18,SKU_001,Home,228,False,20.01,27.17
2022-04-19,SKU_001,Home,231,False,20.69,10.29
2022-04-20,SKU_001,Home,227,False,77.14,31.25
2022-04-21,SKU_001,Home,229,False,88.17,15.06
2022-04-22,SKU_001,Home,237,False,11.09,48.64
2022-04-23,SKU_001,Home,234,False,59.85,48.62
2022-04-24,SKU_001,Home,231,False,66.65,36.31
2022-04-25,SKU_001,Home,263,False,91.1,7.05
2022-04-26,SKU_001,Home,219,False,95.54,45.06
2022-04-27,SKU_001,Home,263,False,26.93,25.87
2022-04-28,SKU_001,Home,218,False,62.53,8.5
2022-04-29,SKU_001,Home,235,False,83.24,35.81
2022-04-30,SKU_001,Home,258,False,91.98,42.01
2022-05-01,SKU_001,Home,210,False,87.95,7.03
2022-05-02,SKU_001,Home,257,False,43.88,41.47
2022-05-03,SKU_001,Home,204,False,85.79,42.72
2022-05-04,SKU_001,Home,250,False,47.33,17.3
2022-05-05,SKU_001,Home,229,False,95.03,43.23
2022-05-06,SKU_001,Home,230,False,50.55,10.81
2022-05-07,SKU_001,Home,231,False,70.45,32.82
2022-05-08,SKU_001,Home,236,False,20.22,35.22
2022-05-09,SKU_001,Home,252,False,86.7,29.84
2022-05-10,SKU_001,Home,230,False,88.9,23.16
2022-05-11,SKU_001,Home,238,False,29.17,11.14
2022-05-12,SKU_001,Home,0,True,41.55,31.55
2022-05-13,SKU_001,Home,210,False,41.34,28.13
2022-05-14,SKU_001,Home,197,False,45.69,32.99
2022-05-15,SKU_001,Home,201,False,98.2,27.17
2022-05-16,SKU_001,Home,226,False,67.01,15.81
2022-05-17,SKU_001,Home,232,False,41.11,45.36
2022-05-18,SKU_001,Home,212,False,70.08,12.75
2022-05-19,SKU_001,Home,218,False,17.98,10.43
2022-05-20,SKU_001,Home,214,False,28.57,21.39
2022-05-21,SKU_001,Home,255,False,81.95,33.26
2022-05-22,SKU_001,Home,226,False,88.62,46.44
2022-05-23,SKU_001,Home,223,False,77.34,13.3
2022-05-24,SKU_001,Home,221,False,43.34,26.8
2022-05-25,SKU_001,Home,201,False,77.27,6.65
2022-05-26,SKU_001,Home,244,False,74.2,45.28
2022-05-27,SKU_001,Home,270,False,50.27,28.97
2022-05-28,SKU_001,Home,240,False,34.23,21.98
2022-05-29,SKU_001,Home,213,False,90.15,31.71
2022-05-30,SKU_001,Home,206,False,81.03,27.43
2022-05-31,SKU_001,Home,223,False,77.09,24.42
2022-06-01,SKU_001,Home,239,False,35.54,21.34
2022-06-02,SKU_001,Home,265,False,98.79,32.26
2022-06-03,SKU_001,Home,280,False,19.16,11.88
2022-06-04,SKU_001,Home,241,False,35.66,12.8
2022-06-05,SKU_001,Home,243,False,17.22,28.6
2022-06-06,SKU_001,Home,254,False,45.81,48.63
2022-06-07,SKU_001,Home,249,False,83.54,16.61
2022-06-08,SKU_001,Home,257,False,60.11,30.72
2022-06-09,SKU_001,Home,234,False,79.25,13.42
2022-06-10,SKU_001,Home,237,False,31.82,10.17
2022-06-11,SKU_001,Home,221,False,35.98,31.16
2022-06-12,SKU_001,Home,247,False,14.66,20.15
2022-06-13,SKU_001,Home,229,False,15.7,49.55
2022-06-14,SKU_001,Home,262,False,71.34,39.21
2022-06-15,SKU_001,Home,238,False,52.44,23.53
2022-06-16,SKU_001,Home,255,False,96.85,10.59
2022-06-17,SKU_001,Home,243,False,94.45,13.16
2022-06-18,SKU_001,Home,247,False,85.76,11.29
2022-06-19,SKU_001,Home,243,False,28.15,12.36
2022-06-20,SKU_001,Home,250,False,57.08,21.15
2022-06-21,SKU_001,Home,238,False,45.32,41.75
2022-06-22,SKU_001,Home,213,False,37.12,38.64
2022-06-23,SKU_001,Home,228,False,30.9,45.48
2022-06-24,SKU_001,Home,255,False,66.18,10.26
2022-06-25,SKU_001,Home,209,False,66.49,20.07
2022-06-26,SKU_001,Home,247,False,58.01,45.23
2022-06-27,SKU_001,Home,235,False,23.65,19.03
2022-06-28,SKU_001,Home,254,False,61.29,39.31
2022-06-29,SKU_001,Home,228,False,40.79,41.96
2022-06-30,SKU_001,Home,236,False,23.49,15.32
2022-07-01,SKU_001,Home,225,False,74.8,33.85
2022-07-02,SKU_001,Home,246,False,41.11,13.17
2022-07-03,SKU_001,Home,267,False,62.51,23.04
2022-07-04,SKU_001,Home,248,False,62.76,27.76
2022-07-05,SKU_001,Home,237,False,11.63,44.25
2022-07-06,SKU_001,Home,239,False,93.02,36.83
2022-07-07,SKU_001,Home,248,False,61.87,32.3
2022-07-08,SKU_001,Home,261,False,93.3,25.29
2022-07-09,SKU_001,Home,229,False,98.64,42.75
2022-07-10,SKU_001,Home,237,False,45.91,7.46
2022-07-11,SKU_001,Home,252,False,82.26,5.21
2022-07-12,SKU_001,Home,220,False,92.79,20.59
2022-07-13,SKU_001,Home,210,False,76.38,25.35
2022-07-14,SKU_001,Home,231,False,25.87,27.43
2022-07-15,SKU_001,Home,211,False,92.34,21.31
2022-07-16,SKU_001,Home,0,True,69.72,13.01
2022-07-17,SKU_001,Home,250,False,23.38,23.66
2022-07-18,SKU_001,Home,271,False,77.5,14.45
2022-07-19,SKU_001,Home,233,False,28.46,13.58
2022-07-20,SKU_001,Home,232,False,15.91,39.9
2022-07-21,SKU_001,Home,223,False,57.2,24.83
2022-07-22,SKU_001,Home,250,False,26.37,43.78
2022-07-23,SKU_001,Home,200,False,43.6,17.18
